id,key,slug,title,isPPC,previewUrl,thumbnail,payoutType,payoutAmount,payoutPercentage,variablePayout,variablePayoutString,payoutCurrency,created_at,updated_at,networkId,categories,countries,processDate,source,sourceRefId,expired,active,featured,expiredAt,deleted,deletedAt,stwCrawled,stwCrawledAt,usdAmount,crawlAttempts,networkIntegrationId,networkName,networkSlug,randomScore,siteIdentifier
b4de96e4ade91ffba9b2cbf17ebe6ce7,48462,48462-fr-nespresso-creatista-v1-cc-submit,48462 - FR - Nespresso Creatista v1 CC submit,False,https://affiliates.gasmobi.com/api/images/get/offers/real/48462,,lead,30.80,0.00,False,,USD,2024-03-04T21:37:02.680Z,2024-03-04T21:37:02.680Z,837,"['Free Trial', 'Sweepstakes', 'Lead Gen']",[{'code': 'FR'}],2024-03-04T21:37:00.059Z,gasmobi,309430,,True,True,,False,,True,2023-11-13T21:37:25.783Z,30.80,0,234,Gasmobi,gasmobi,0.46730883701715675,offervault
19bea241cb11694af704f123c128f1ba,48490,48490-fr-ampoule-led-stellar-bright,48490 - FR - Ampoule Led Stellar Bright,False,https://affiliates.gasmobi.com/api/images/get/offers/real/48490,,lead,30.00,0.00,False,,USD,2024-03-04T21:37:02.742Z,2024-03-04T21:37:02.742Z,837,"['Free Trial', 'Sweepstakes', 'Lead Gen']",[{'code': 'FR'}],2024-03-04T21:37:00.059Z,gasmobi,309430,,True,True,,False,,True,2023-11-21T21:37:07.333Z,30.00,0,234,Gasmobi,gasmobi,0.8900990174975449,offervault
69cab94dfe2e1fb741c7e34260f37d73,5154,blingtop-storage-cloud-50-gb-fr-cc-submit-the-lead-wolves-exclusive,BlingTop - Storage Cloud 50 GB FR - CC Submit *THE LEAD WOLVES EXCLUSIVE*,False,https://snipboard.io/CKa4sU.jpg,,cpa,24.00,0.00,False,,EUR,2024-03-04T23:27:39.046Z,2024-03-04T23:27:39.046Z,886,['CC Submit Sweepstakes'],[{'code': 'FR'}],2024-03-04T23:27:00.018Z,everflow,309434,,True,True,,False,,True,2023-07-24T23:28:54.277Z,26.03,0,245,The Lead Wolves,the-lead-wolves,0.2195508082970543,offervault
874d2ca27dee6d47d5f3fca204193a0a,48538,48538-us-dyson-v15-us-cc-submit,48538 - US - Dyson v15 - US- CC submit,False,https://affiliates.gasmobi.com/api/images/get/offers/real/48538,,lead,24.00,0.00,False,,USD,2024-03-04T21:37:02.813Z,2024-03-04T21:37:02.813Z,837,"['Free Trial', 'Sweepstakes', 'Lead Gen']",[{'code': 'US'}],2024-03-04T21:37:00.059Z,gasmobi,309430,,True,True,,False,,True,2023-12-21T21:37:07.482Z,24.00,0,234,Gasmobi,gasmobi,0.6765661897521258,offervault
8962836c8cda4f56da6c851a9a506378,7151,iphone-14,iPhone 14,False,https://mccads.go2cloud.org/aff_c?offer_id=282&aff_id=7,,cpa_flat,23.00,0.00,False,,USD,2024-02-27T16:56:46.251Z,2024-03-04T13:33:16.022Z,1244,['Sweepstakes'],[{'code': 'US'}],2024-02-27T16:56:46.113Z,csv,309104,,True,True,,False,,False,,23.00,3,685,Flickstree,flickstree,0.15050899322763023,offervault
8b8907be146c1e8fa071b328518c6e48,289,akto-new-steps-ca-162076,AKTO - New Steps CA 162076,False,https://d25e10dl5yrpaz.cloudfront.net/20105/offerlogo/20945670.gif,,cpa_flat,16.00,0.00,False,,USD,2024-02-27T17:07:06.339Z,2024-03-04T13:33:16.022Z,1253,['Sweepstakes CCS'],[{'code': 'CA'}],2024-02-27T17:07:06.031Z,csv,309107,,True,True,,False,,True,2024-02-27T19:20:48.035Z,16.00,0,699,Tarboch,tarboch,0.5449717574505226,offervault
2ba1f78c573c251e6e2eadfb840920d3,306,akto-blank-ccs-uk-162076,AKTO - Blank CCS UK 162076,False,https://d25e10dl5yrpaz.cloudfront.net/20105/offerlogo/20949711.gif,,cpa_flat,16.00,0.00,False,,USD,2024-02-27T17:07:06.350Z,2024-03-04T13:33:16.022Z,1253,['Sweepstakes CCS'],[{'code': 'GB'}],2024-02-27T17:07:06.031Z,csv,309107,,True,True,,False,,True,2024-02-27T19:34:21.396Z,16.00,0,699,Tarboch,tarboch,0.7484941522639095,offervault
83aed2325b63f5365d958f64e059182e,327,dspy-mcplayzcom-white-lp-us-164929,DSPY - Mcplayz.com White LP US 164929,False,https://d25e10dl5yrpaz.cloudfront.net/20105/offerlogo/20956577.gif,,cpa_flat,11.00,0.00,False,,USD,2024-02-27T17:07:06.373Z,2024-03-04T13:33:16.022Z,1253,['Sweepstakes CCS'],[{'code': 'US'}],2024-02-27T17:07:06.031Z,csv,309107,,True,True,,False,,True,2024-02-27T18:37:34.062Z,11.00,0,699,Tarboch,tarboch,0.1824555240834338,offervault
c637b862d7d09960283953e9b2b450aa,19787,yousweeps-win-a-kfc-gift-card-soi-us,YOUSWEEPS - Win a KFC Gift Card - SOI (US),False,https://maxbounty.com/resources/getlp.asp?m=7835&o=19787&l=20742&s=thumb,,$ per lead,2.50,0.00,False,,USD,2024-03-04T18:13:01.939Z,2024-03-04T18:13:01.939Z,210,"['Sweepstakes', 'Draws']",,2024-03-04T18:13:00.024Z,maxbounty,309423,,True,True,,False,,True,2023-11-16T18:18:15.429Z,2.50,0,121,MaxBounty,maxbounty,0.34973494354850976,offervault
3fd1b9195c3becbc5622b837765c13e6,1672,casino-golden-lion-cpa-ccs-us,Casino Golden Lion CPA CCS - US,False,,,fixed,95.00,0.00,False,,USD,2024-03-05T10:17:08.887Z,2024-03-05T10:17:08.887Z,1199,"['E-com', 'Ecommerce', 'Sweepstakes']",[{'code': 'US'}],2024-03-05T10:17:00.022Z,affise,309455,,True,False,,False,,False,,95.00,0,630,AffiliArt,affiliart,0.16359602546019425,offervault
419eec529f365acbde70b583ddff925b,396a6fd974593658a923917afde667eb,charitybuzz-bid-on-once-in-a-lifetime-auctions-and-more-cplcpa-or-us,Charitybuzz: Bid on Once-in-a-Lifetime Auctions & More - CPL+CPA | US,False,http://pointclicktrack.com/utility/preview-offer/id/29496,,lead,70.00,0.00,False,,USD,2024-03-05T03:13:05.413Z,2024-03-05T03:13:05.413Z,187,"['Sweepstakes', 'Type: Direct']",[],2024-03-05T03:13:00.034Z,pointclicktrack,309439,,True,False,,False,,True,2023-04-25T03:14:11.512Z,70.00,0,124,PointClickTrack,pointclicktrack,0.764699931048753,offervault
c0510777df8aca3e7c863862183f3c43,485,dvfi-shopify-blank-ch-161814,DVFI - Shopify Blank CH 161814,False,https://d25e10dl5yrpaz.cloudfront.net/20105/offerlogo/20975504.gif,,cpa_flat,44.00,0.00,False,,USD,2024-02-27T17:07:06.480Z,2024-03-04T13:33:16.022Z,1253,['Sweepstakes CCS'],[{'code': 'CH'}],2024-02-27T17:07:06.031Z,csv,309107,,True,False,,False,,True,2024-02-27T17:10:16.462Z,44.00,0,699,Tarboch,tarboch,0.860687629171923,offervault
